"
                40.
            ","
95
","

                    Grand Theft Auto: San Andreas
                                            (PS2)
                                    
","
User:
8.9
","
                                                                                                                        Oct 26, 2004
            "
"
                41.
            ","
95
","

                    Grand Theft Auto: Vice City
                                            (PS2)
                                    
","
User:
8.7
","
                                                                                                                        Oct 27, 2002
            "
"
                42.
            ","
95
","

                    LittleBigPlanet
                                            (PS3)
                                    
","
User:
6.7
","
                                                                                                                        Oct 27, 2008
            "
"
                43.
            ","
95
","

                    The Legend of Zelda Collector's Edition
                                            (GC)
                                    
","
User:
9.0
","
                                                                                                                        Nov 17, 2003
            "
"
                44.
            ","
95
","

                    Red Dead Redemption
                                            (PS3)
                                    
","
User:
8.8
","
                                                                                                                        May 18, 2010
            "
"
                45.
            ","
95
","

                    Gran Turismo 3: A-Spec
                                            (PS2)
                                    
","
User:
8.5
","
                                                                                                                        Jul 9, 2001
            "
"
                46.
            ","
95
","

                    Halo 2
                                            (XBOX)
                                    
","
User:
8.1
","
                                                                                                                        Nov 9, 2004
            "
"
                47.
            ","
95
","

                    The Legend of Zelda: A Link to the Past
                                            (GBA)
                                    
","
User:
9.1
","
                                                                                                                        Dec 3, 2002
            "
"
                48.
            ","
95
","

                    The Legend of Zelda: Majora's Mask
                                            (N64)
                                    
","
User:
9.2
","
                                                                                                                        Oct 25, 2000
            "
"
                49.
            ","
95
","

                    The Last of Us
                                            (PS3)
                                    
","
User:
9.1
","
                                                                                                                        Jun 14, 2013
            "
"
                50.
            ","
95
","

                    The Legend of Zelda: Twilight Princess
                                            (WII)
                                    
","
User:
9.0
","
                                                                                                                        Nov 19, 2006
            "
"
                51.
            ","
95
","

                    Madden NFL 2003
                                            (PS2)
                                    
","
User:
7.5
","
                                                                                                                        Aug 12, 2002
            "
"
                52.
            ","
95
","

                    Tony Hawk's Pro Skater 2
                                            (GBA)
                                    
","
User:
7.3
","
                                                                                                                        May 30, 2001
            "
"
                53.
            ","
95
","

                    The Last of Us Remastered
                                            (PS4)
                                    
","
User:
8.9
","
                                                                                                                        Jul 29, 2014
            "
"
                54.
            ","
95
","

                    Portal 2
                                            (PC)
                                    
","
User:
8.8
","
                                                                                                                        Apr 19, 2011
            "
"
                55.
            ","
95
","

                    Red Dead Redemption
                                            (X360)
                                    
","
User:
9.0
","
                                                                                                                        May 18, 2010
            "
"
                56.
            ","
95
","

                    Portal 2
                                            (X360)
                                    
","
User:
8.5
","
                                                                                                                        Apr 19, 2011
            "
"
                57.
            ","
95
","

                    Metal Gear Solid V: The Phantom Pain
                                            (XONE)
                                    
","
User:
7.2
","
                                                                                                                        Sep 1, 2015
            "
"
                58.
            ","
95
","

                    Portal 2
                                            (PS3)
                                    
","
User:
8.4
","
                                                                                                                        Apr 19, 2011
            "
"
                59.
            ","
94
","

                    World of Goo
                                            (WII)
                                    
","
User:
8.8
","
                                                                                                                        Oct 13, 2008
            "
"
                60.
            ","
94
","

                    BioShock Infinite
                                            (PS3)
                                    
","
User:
8.5
","
                                                                                                                        Mar 26, 2013
            "
"
                61.
            ","
94
","

                    Final Fantasy IX
                                            (PS)
                                    
","
User:
9.1
","
                                                                                                                        Nov 13, 2000
            "
"
                62.
            ","
94
","

                    Call of Duty: Modern Warfare 2
                                            (PS3)
                                    
","
User:
6.2
","
                                                                                                                        Nov 10, 2009
            "
"
                63.
            ","
94
","

                    Tony Hawk's Pro Skater 4
                                            (PS2)
                                    
","
User:
8.2
","
                                                                                                                        Oct 23, 2002
            "
"
                64.
            ","
94
","

                    Devil May Cry
                                            (PS2)
                                    
","
User:
8.5
","
                                                                                                                        Oct 16, 2001
            "
"
                65.
            ","
94
","

                    Call of Duty 4: Modern Warfare
                                            (PS3)
                                    
","
User:
8.4
","
                                                                                                                        Nov 5, 2007
            "
"
                66.
            ","
94
","

                    Madden NFL 2002
                                            (PS2)
                                    
","
User:
7.8
","
                                                                                                                        Aug 19, 2001
            "
"
                67.
            ","
94
","

                    Batman: Arkham City
                                            (X360)
                                    
","
User:
8.6
","
                                                                                                                        Oct 18, 2011
            "
"
                68.
            ","
94
","

                    The Elder Scrolls V: Skyrim
                                            (PC)
                                    
","
User:
8.1
","
                                                                                                                        Nov 11, 2011
            "
"
                69.
            ","
94
","

                    Mass Effect 2
                                            (PC)
                                    
","
User:
8.7
","
                                                                                                                        Jan 26, 2010
            "
"
                70.
            ","
94
","

                    The Legend of Zelda: Ocarina of Time 3D
                                            (3DS)
                                    
","
User:
8.9
","
                                                                                                                        Jun 19, 2011
            "
"
                71.
            ","
94
","

                    Chrono Cross
                                            (PS)
                                    
","
User:
8.8
","
                                                                                                                        Aug 15, 2000
            "
"
                72.
            ","
94
","

                    BioShock
                                            (PS3)
                                    
","
User:
8.7
","
                                                                                                                        Oct 21, 2008
            "
"
                73.
            ","
94
","

                    Mass Effect 2
                                            (PS3)
                                    
","
User:
8.4
","
                                                                                                                        Jan 18, 2011
            "
"
                74.
            ","
94
","

                    Grand Theft Auto: Vice City
                                            (PC)
                                    
","
User:
8.8
","
                                                                                                                        May 12, 2003
            "
"
                75.
            ","
94
","

                    Madden NFL 2004
                                            (PS2)
                                    
","
User:
8.4
","
                                                                                                                        Aug 12, 2003
            "
"
                76.
            ","
94
","

                    Gears of War
                                            (X360)
                                    
","
User:
8.3
","
                                                                                                                        Nov 7, 2006
            "
"
                77.
            ","
94
","

                    The Elder Scrolls IV: Oblivion
                                            (X360)
                                    
","
User:
8.7
","
                                                                                                                        Mar 20, 2006
            "
"
                78.
            ","
94
","

                    Civilization II
                                            (PC)
                                    
","
User:
9.0
","
                                                                                                                        Feb 29, 1996
            "
"
                79.
            ","
94
","

                    Quake
                                            (PC)
                                    
","
User:
8.8
","
                                                                                                                        Jun 22, 1996
            "
"
                80.
            ","
94
","

                    Call of Duty 4: Modern Warfare
                                            (X360)
                                    
","
User:
8.4
","
                                                                                                                        Nov 5, 2007
            "
"
                81.
            ","
94
","

                    BioShock Infinite
                                            (PC)
                                    
","
User:
8.5
","
                                                                                                                        Mar 26, 2013
            "
"
                82.
            ","
94
","

                    Halo 3
                                            (X360)
                                    
","
User:
7.8
","
                                                                                                                        Sep 25, 2007
            "
"
                83.
            ","
94
","

                    Ninja Gaiden Black
                                            (XBOX)
                                    
","
User:
8.7
","
                                                                                                                        Sep 20, 2005
            "
"
                84.
            ","
94
","

                    The Elder Scrolls IV: Oblivion
                                            (PC)
                                    
","
User:
8.0
","
                                                                                                                        Mar 20, 2006
            "
"
                85.
            ","
94
","

                    Street Fighter IV
                                            (PS3)
                                    
","
User:
7.2
","
                                                                                                                        Feb 17, 2009
            "
"
                86.
            ","
94
","

                    Super Mario Advance 4: Super Mario Bros. 3
                                            (GBA)
                                    
","
User:
9.3
","
                                                                                                                        Oct 21, 2003
            "
"
                87.
            ","
94
","

                    Jet Grind Radio
                                            (DC)
                                    
","
User:
7.9
","
                                                                                                                        Oct 30, 2000
            "
"
                88.
            ","
94
","

                    Metal Gear Solid
                                            (PS)
                                    
","
User:
9.4
","
                                                                                                                        Oct 21, 1998
            "
"
                89.
            ","
94
","

                    Grim Fandango
                                            (PC)
                                    
","
User:
9.1
","
                                                                                                                        Sep 30, 1998
            "
"
                90.
            ","
94
","

                    Tom Clancy's Splinter Cell Chaos Theory
                                            (XBOX)
                                    
","
User:
8.9
","
                                                                                                                        Mar 28, 2005
            "
"
                91.
            ","
94
","

                    Burnout 3: Takedown
                                            (XBOX)
                                    
","
User:
7.1
","
                                                                                                                        Sep 7, 2004
            "
"
                92.
            ","
94
","

                    Diablo
                                            (PC)
                                    
","
User:
8.7
","
                                                                                                                        Nov 30, 1996
            "
"
                93.
            ","
94
","

                    Metal Gear Solid 3: Subsistence
                                            (PS2)
                                    
","
User:
9.3
","
                                                                                                                        Mar 14, 2006
            "
"
                94.
            ","
94
","

                    Call of Duty: Modern Warfare 2
                                            (X360)
                                    
","
User:
6.3
","
                                                                                                                        Nov 10, 2009
            "
"
                95.
            ","
94
","

                    Metal Gear Solid 4: Guns of the Patriots
                                            (PS3)
                                    
","
User:
8.7
","
                                                                                                                        Jun 12, 2008
            "
"
                96.
            ","
94
","

                    NCAA Football 2004
                                            (PS2)
                                    
","
User:
8.7
","
                                                                                                                        Jul 16, 2003
            "
"
                97.
            ","
94
","

                    God of War
                                            (PS2)
                                    
","
User:
8.9
","
                                                                                                                        Mar 22, 2005
            "
"
                98.
            ","
94
","

                    Star Wars: Knights of the Old Republic
                                            (XBOX)
                                    
","
User:
9.3
","
                                                                                                                        Jul 17, 2003
            "
"
                99.
            ","
94
","

                    Sid Meier's Civilization IV
                                            (PC)
                                    
","
User:
8.2
","
                                                                                                                        Oct 25, 2005
            "
"
                100.
            ","
94
","

                    Madden NFL 2004
                                            (GC)
                                    
","
User:
7.6
","
                                                                                                                        Aug 12, 2003
            "
